,Unnamed: 1,Unnamed: 2
299,beating,-1.0
300,beauties,3.0
301,beautiful,3.0
302,beautifully,3.0
303,beautify,3.0
304,beauty,3.0
305,befit,2.0
306,befitting,2.0
307,belittle,-2.0
308,belittled,-2.0
309,beloved,3.0
310,benefactor,2.0
311,benefactors,2.0
312,benefit,2.0
313,benefits,2.0
314,benefitted,2.0
315,benefitting,2.0
316,benevolent,3.0
317,bereave,-2.0
318,bereaved,-2.0
319,bereaves,-2.0
320,bereaving,-2.0
321,best,3.0
322,best damn,4.0
323,betray,-3.0
324,betrayal,-3.0
325,betrayed,-3.0
326,betraying,-3.0
327,betrays,-3.0
328,better,2.0
329,bias,-1.0
330,biased,-2.0
331,big,1.0
332,bitch,-5.0
333,bitches,-5.0
334,bitter,-2.0
335,bitterest,-2.0
336,bitterly,-2.0
337,bizarre,-2.0
338,blackmail,-3.0
339,blackmailed,-3.0
340,blackmailing,-3.0
341,blackmails,-3.0
342,blah,-2.0
343,blame,-2.0
344,blamed,-2.0
345,blames,-2.0
346,blaming,-2.0
347,bless,2.0
348,blesses,2.0
349,blessing,3.0
350,blessings,3.0
351,blind,-1.0
352,bliss,3.0
353,blissful,3.0
354,blithe,2.0
355,bloated,-1.0
356,block,-1.0
357,blockade,-2.0
358,blockbuster,3.0
359,blocked,-1.0
360,blocking,-1.0
361,blocks,-1.0
362,bloody,-3.0
363,blurry,-2.0
364,boastful,-2.0
365,bold,2.0
366,boldly,2.0
367,bomb,-1.0
368,boost,1.0
369,boosted,1.0
370,boosting,1.0
371,boosts,1.0
372,bore,-2.0
373,bored,-2.0
374,boring,-3.0
375,bother,-2.0
376,bothered,-2.0
377,bothers,-2.0
378,bothersome,-2.0
379,boycott,-2.0
380,boycotted,-2.0
381,boycotting,-2.0
382,boycotts,-2.0
383,brainwashing,-3.0
384,brave,2.0
385,braveness,2.0
386,bravery,2.0
387,bravura,3.0
388,breach,-2.0
389,breached,-2.0
390,breaches,-2.0
391,breaching,-2.0
392,breakthrough,3.0
393,breathtaking,5.0
394,bribe,-3.0
395,bribed,-3.0
396,bribes,-3.0
397,bribing,-3.0
398,bright,1.0
399,brightest,2.0
400,brightness,1.0
401,brilliant,4.0
402,brilliance,3.0
403,brilliances,3.0
404,brisk,2.0
405,broke,-1.0
406,broken,-1.0
407,brooding,-2.0
408,brutal,-3.0
409,brutally,-3.0
410,bullied,-2.0
411,bullshit,-4.0
412,bully,-2.0
413,bullying,-2.0
414,bummer,-2.0
415,buoyant,2.0
416,burden,-2.0
417,burdened,-2.0
418,burdening,-2.0
419,burdens,-2.0
420,burglar,-2.0
421,burglary,-2.0
422,calm,2.0
423,calmed,2.0
424,calming,2.0
425,calms,2.0
426,can't stand,-3.0
427,cancel,-1.0
428,cancelled,-1.0
429,cancelling,-1.0
430,cancels,-1.0
431,cancer,-1.0
432,capabilities,1.0
433,capability,1.0
434,capable,1.0
435,captivated,3.0
436,care,2.0
437,carefree,1.0
438,careful,2.0
439,carefully,2.0
440,carefulness,2.0
441,careless,-2.0
442,cares,2.0
443,caring,2.0
444,cashing in,-2.0
445,casualty,-2.0
446,catastrophe,-3.0
447,catastrophic,-4.0
448,cautious,-1.0
449,celebrate,3.0
450,celebrated,3.0
451,celebrates,3.0
452,celebrating,3.0
453,celebration,3.0
454,celebrations,3.0
455,censor,-2.0
456,censored,-2.0
457,censors,-2.0
458,certain,1.0
459,chagrin,-2.0
460,chagrined,-2.0
461,challenge,-1.0
462,champion,2.0
463,championed,2.0
464,champions,2.0
465,chance,2.0
466,chances,2.0
467,chaos,-2.0
468,chaotic,-2.0
469,charged,-3.0
470,charges,-2.0
471,charisma,2.0
472,charitable,2.0
473,charm,3.0
474,charming,3.0
475,charmingly,3.0
476,charmless,-3.0
477,chastise,-3.0
