RunQueue;syscall;%CPU;RunQueue;syscall;;User%;Sys%;Wait%
0,2;10012;0,17;7,03;221537;;17,7;7,5;1,5
0,4;9554;1,21;6,24;192813;;14;7,1;1,6
0,6;29271;0,17;5,03;169607;;13,7;5,4;1,6
0,9;36782;1,27;5,09;191384;;14,8;6,1;1,6
0,1;8072;0,17;7,03;225484;;16,5;8,2;1,6
0,3;9729;0,21;5,39;189391;;14,1;6,8;1,6
0,1;9206;1,08;4,98;160811;;13,3;4,6;1,6
0;9821;0,17;5,57;176130;;14,3;5,8;1,6
0,89;30206;0,5;5,89;232360;;17;8,2;1,6
0,8;33115;0,8;4,91;190008;;14,4;6,4;1,6
0,6;20611;0,17;4,58;163167;;14;4,9;1,6
0,2;8903;0,9;5,03;180745;;15;6;1,6
0,3;9629;0,41;8,16;244614;;17,2;8,5;1,5
0,1;3894;0,17;6,03;184882;;14,2;6,6;1,6
0,5;26926;0,42;4,18;162869;;13,5;4,8;1,6
1,3;55489;0,89;6,1;212680;;15,8;6,8;1,6
0,5;17871;0,18;7,42;228572;;17,2;8,4;1,6
0,4;8924;1,19;7,46;186464;;14,2;6,4;1,7
0,1;11592;0,17;3,85;164267;;13,4;4,7;1,8
0,1;10527;1,29;5,83;186438;;14,9;6,2;1,8
0,5;29893;0,17;7,29;232515;;17,4;7,8;1,6
0,6;39161;1,19;5,97;191166;;15,2;7;1,7
0,3;16555;0,17;5,7;174492;;14,5;5,2;1,7
0,3;8438;1,27;5,24;180675;;14,7;6,1;1,7
0,1;10740;0,17;6,66;234917;;17,6;8,1;1,6
0,2;6528;1,11;5,3;193397;;14,3;6,8;1,8
0,8;28366;0,21;4,51;166249;;13,9;5,3;1,7
0,8;43551;0,17;5,02;188429;;14,9;6;1,7
0,1;12808;0,12;6,25;228465;;16,9;8,3;1,6
0,7;8584;1,16;5,71;196867;;14,7;6,6;1,7
0,3;9728;0,17;4,77;166422;;13,8;4,9;1,7
0,4;9591;0,38;5,04;180015;;14,8;6,1;1,7
0,8;29026;0,92;6,9;246288;;17,5;8,5;1,6
1,1;43339;0,17;5,37;187255;;14,2;6,8;1,7
0,5;9414;0,85;4,71;166592;;14,2;4,8;1,8
0,4;8790;0,44;7,9;206221;;15,8;6,8;1,7
0;2985;0,17;5,76;224289;;16,6;7,7;1,6
0,1;10167;1,04;6,17;195608;;14,7;6,8;1,7
0,8;25718;0,27;4,51;171167;;14,3;5,4;1,7
0,8;47270;0,17;5,95;186301;;15,1;5,8;1,8
0,4;8089;1,28;6,82;220347;;17,1;7,3;1,6
0,5;8795;0,17;5,84;204246;;14,8;8,6;2,3
0;9134;1,29;7,08;188191;;14,8;8,3;2,5
0,2;9516;0,17;5,9;188268;;14,5;6,5;2,5
1,1;31107;1,3;6,64;358223;;17,8;9,2;1,6
1,3;61093;0,17;6,89;211662;;15,2;7,9;1,6
0,2;8746;1,3;4,25;164348;;13,9;4,8;1,7
0,4;6345;0,17;5,36;176956;;14,1;5,9;1,7
0,1;7748;1,3;6,37;221151;;16,6;7,3;1,6
0,1;10506;0,18;5,77;202311;;14,5;7,3;1,6
0,6;32725;1,3;5,16;159340;;13,1;5,3;1,7
1;43856;0,17;6,14;183597;;14,3;5,6;1,7
0,1;8700;0,55;7,74;214336;;16,3;7,7;1,7
0,3;8942;0,74;5,23;198335;;14,8;6,8;1,6
0;13455;0,17;6,44;174790;;13,5;6,1;1,7
0,2;11083;1,09;6,37;199954;;14,9;6,6;1,6
0,6;30869;0,22;4,77;199045;;15;6,4;1,6
0,7;44058;0,17;6,44;194985;;14,6;6,3;1,6
0,5;9911;1;5,1;187832;;14,1;6,7;1,7
0,6;2822;0,31;4,64;178327;;14,1;5,9;1,6
0,4;9032;0,17;4,84;182387;;14,2;5,6;1,6
0,4;9630;1,22;5,43;204540;;14,9;6,8;1,5
0,7;31859;0,17;4,18;164726;;13,4;5,4;1,6
1,1;41688;1,19;6,17;196420;;14,4;6,6;1,6
0,3;8761;0,1;5,53;193716;;14,9;6,1;1,6
0,22;9617;0,17;5,24;194887;;14,4;6,8;1,5
0,3;9428;1,29;3,72;144049;;11,2;4,7;1,3
0,2;9494;0,17;3,87;182580;;8,4;4,2;0,5
0,6;23215;1,3;5,64;164569;;13,7;5,7;1,9
0,8;29325;0,17;10,09;240204;;17,8;8,3;1,9
0,89;21710;1,2;3,84;168020;;14,2;4,7;1,8
0,5;8801;0,1;5,31;199949;;15,2;6,6;1,7
0,3;9373;0,17;6,9;200357;;16;5,8;1,6
0,5;9482;1,28;6,03;188921;;14,5;5,9;1,7
0,8;28561;0,19;6,96;200796;;15,6;6,7;1,6
1,4;61509;0,72;5,17;173647;;13,7;6,1;1,7
0,4;13683;0,6;5,1;193873;;14,4;6,4;1,6
0,7;9197;0,17;5,58;206937;;15,2;7,2;1,6
0,1;11179;0,94;6,24;168782;;13,8;5,1;1,7
0,2;10518;0,36;7,07;190045;;15,1;6,7;1,7
0,9;30673;0,17;6,84;187539;;14,9;6,1;1,6
0,8;38546;1,08;4,84;185502;;14;5,6;1,7
0,4;9671;0,22;8,16;177702;;14,6;5,9;1,7
0,6;8854;0,17;5,11;179645;;14,5;6,1;1,8
0,4;13419;1,22;5,44;193124;;14,7;5,7;1,6
0,2;9840;0,17;5,83;213497;;15,8;7,5;1,6
0,5;29227;1,28;3,58;158513;;12,8;4,8;1,7
1;45705;0,17;7,16;184454;;14,4;6,7;1,7
0,6;10375;1,29;5,82;203759;;15;6,4;1,6
0,5;9030;0,17;6,04;183135;;14,2;5,6;1,7
0,1;9162;1,29;5,11;188237;;14,4;6,2;1,7
0,6;11128;0,16;6,16;205140;;14,8;6,9;1,7
0,6;27499;1,3;5,91;179702;;13,8;5,5;1,7
0,9;38693;0,17;4,71;214599;;15,2;7,7;1,6
0,3;8367;1,26;5,3;165228;;13;5;1,7
0,2;8786;0,17;4,98;173827;;13,5;5,8;1,7
0,1;9192;1,3;5,84;205258;;15,4;6,4;1,6
0,1;9482;0,17;5,9;181789;;13,4;5,8;1,6
0,6;30361;1,08;6,11;189411;;14,5;6,2;1,6
0,9;42297;0,22;4,51;171865;;13,8;5,8;1,7
0,4;8101;0,17;5,3;200509;;15,4;6,2;1,6
0,1;8782;1,19;5,69;204119;;14,9;7,1;1,6
0,3;9383;0,11;4,97;159913;;13,1;4,7;1,7
0;9494;0,17;4,97;186781;;14;6,8;1,7
0,6;26598;1,19;5,77;195715;;14,7;6,1;1,6
1,7;58597;0,17;6,17;179671;;13,3;5,3;1,6
0,6;8972;1,28;7,43;187537;;15,6;6,3;1,6
0,4;9230;0,17;4,85;183260;;13,6;5,7;1,7
0,1;11926;1,28;6,18;208557;;15;7,6;1,6
0,3;10518;0,17;6,11;181579;;13,9;5,6;1,6
0,7;33897;1,28;5,45;166846;;12,9;5,4;1,7
1;43046;0,17;7,36;197027;;14,3;7,2;1,7
0,2;8755;1,28;5,57;191892;;14,9;5,6;1,6
0,3;8869;0,17;5,77;181455;;13,2;5,9;1,6
0,6;13395;1,22;6,17;186059;;14,2;6,1;1,6
0,4;8640;0,17;4,71;166155;;12,7;5,3;1,7
0,7;26291;1,09;5,84;199510;;14,4;7,1;1,6
0,9;44070;0,21;5,11;192739;;14,1;5,9;1,6
0,7;10087;0,17;4,91;164093;;12,7;5,4;1,6
0;8905;1,09;6,69;194986;;14;6,5;1,6
0,1;9977;0,21;5,31;187376;;14,4;6,3;1,6
0;54468;0,17;5,19;178077;;13,6;5,2;1,6
0,6;28111;1,29;5,37;186170;;13,8;6,2;1,6
0,8;38330;0,17;4,84;161263;;12,6;5,3;1,6
0,7;14900;1,3;6,37;218918;;15,3;7,5;1,5
0,1;8799;0,17;5,3;173357;;13;5,8;1,5
0,2;5083;1,3;5,37;183856;;13,8;6,1;1,5
0,2;7112;0,36;5,55;170138;;12,7;5,6;1,6
0,7;28049;1,31;6,1;212913;;15,2;7,6;1,5
0,6;41136;0,31;5,04;184616;;13,4;6,6;1,5
