,clock,itemid,num,value_avg,value_max,value_min
99,1596830400,42799799,60,286269301145,292562317312,260218970112
100,1596834000,42799799,60,300277585783,324026290176,273048305664
101,1596837600,42799799,60,323345545625,324049686528,322444075008
102,1596841200,42799799,60,323818632123,324085395456,322388709376
103,1596844800,42799799,60,323740708864,324005900288,323438243840
104,1596848400,42799799,59,320865813521,323716812800,315895238656
105,1596852000,42799799,60,322751070685,323497734144,322357374976
106,1596855600,42799799,60,321953520844,324070928384,316778106880
107,1596859200,42799799,60,323481537740,323989946368,323296026624
108,1596862800,42799799,59,322747097851,323431202816,319652114432
109,1596866400,42799799,60,322861594760,323419803648,321197056000
110,1596870000,42799799,60,323328144657,323859705856,321790676992
111,1596873600,42799799,60,323769304883,323842301952,323070586880
112,1596877200,42799799,60,323761860130,323838726144,322912845824
113,1596880800,42799799,59,323269969191,323815567360,321964589056
114,1596884400,42799799,60,323359421917,323793326080,321328680960
115,1596888000,42799799,60,323146893585,323780771840,319924977664
116,1596891600,42799799,60,322773056375,323790585856,319066312704
117,1596895200,42799799,60,321757686647,323777757184,317196857344
118,1596898800,42799799,59,319868569426,323732721664,314224771072
119,1596902400,42799799,60,318198256298,323776503808,312231620608
120,1596906000,42799799,60,312413295752,323753562112,307033235456
121,1596909600,42799799,60,306400383726,323694653440,296843694080
122,1596913200,42799799,59,296540955804,318635204608,292168523776
123,1596916800,42799799,60,293814435976,310279495680,280916848640
124,1596920400,42799799,24,316452610901,323802365952,309095931904
125,1596924000,42799799,32,322992489856,323809579008,321680273408
126,1596927600,42799799,60,323522193476,323767402496,322090151936
127,1596931200,42799799,60,323490123161,323759923200,323191025664
128,1596934800,42799799,60,320848784861,323500822528,316012109824
129,1596938400,42799799,60,320118645760,322776850432,319404675072
130,1596942000,42799799,60,321728931840,323925626880,316814827520
131,1596945600,42799799,59,323303230863,323841806336,323109732352
132,1596949200,42799799,60,322636329915,323221839872,319725408256
133,1596952800,42799799,60,322757909230,323248373760,320891027456
134,1596956400,42799799,60,323234210611,323657601024,321802874880
135,1596960000,42799799,60,323615225992,323678470144,322976391168
136,1596963600,42799799,60,323600739737,323681865728,322822987776
137,1596967200,42799799,59,323127234212,323607691264,322223157248
138,1596970800,42799799,60,323306919799,323637428224,321461276672
139,1596974400,42799799,60,323059160064,323632517120,320202735616
140,1596978000,42799799,60,322711518276,323595378688,319299002368
141,1596981600,42799799,60,321774490624,323573878784,317597667328
142,1596985200,42799799,60,320103457996,323559587840,314924269568
143,1596988800,42799799,60,318663764377,323545174016,313012383744
144,1596992400,42799799,59,313482633771,323534327808,308075114496
145,1596996000,42799799,60,308047534762,323459391488,299469815808
146,1596999600,42799799,60,299528001672,323408875520,293515866112
147,1597003200,42799799,60,296341659921,314165972992,286507442176
148,1597006800,42799799,59,309999279086,323703496704,296003751936
149,1597010400,42799799,59,322991637799,323677343744,322063151104
150,1597014000,42799799,60,323527163153,323692867584,322059755520
151,1597017600,42799799,60,323323277107,323591077888,322984615936
152,1597021200,42799799,60,321119679010,323334344704,316920889344
153,1597024800,42799799,60,319967415296,322608226304,319199707136
154,1597028400,42799799,59,321599677526,323664678912,317244743680
155,1597032000,42799799,60,323067428386,323576565760,322859134976
156,1597035600,42799799,60,322541374054,323045306368,319986909184
157,1597039200,42799799,60,322488380620,323015966720,321016426496
158,1597042800,42799799,59,322855436426,323172147200,321571921920
159,1597046400,42799799,60,323294046754,323388096512,322622181376
160,1597050000,42799799,60,323300443955,323431546880,322354446336
161,1597053600,42799799,60,322880680960,323400224768,321661616128
162,1597057200,42799799,60,323009251123,323382165504,321077469184
163,1597060800,42799799,59,322737246971,323397451776,319746785280
164,1597064400,42799799,60,322350598826,323361005568,318638088192
165,1597068000,42799799,60,321260950118,323364769792,316711018496
166,1597071600,42799799,60,318901318656,323414274048,313478959104
