clock,value
2020-12-02 22:20:00,4.9521
2020-12-02 22:40:00,5.2034
2020-12-02 23:00:00,4.6421
2020-12-02 23:20:00,4.4282
2020-12-02 23:40:00,4.6292
2020-12-03 00:00:00,4.6605
2020-12-03 00:20:00,5.4812
2020-12-03 00:40:00,6.513
2020-12-03 01:00:00,7.6014
2020-12-03 01:20:00,7.2049
2020-12-03 01:40:00,7.4352
2020-12-03 02:00:00,7.1335
2020-12-03 02:20:00,7.2042
2020-12-03 02:40:00,7.3852
2020-12-03 03:00:00,7.4191
2020-12-03 03:20:00,7.2302
2020-12-03 03:40:00,7.6347
2020-12-03 04:00:00,6.7641
2020-12-03 04:20:00,4.4551
2020-12-03 04:40:00,4.5152
2020-12-03 05:00:00,4.7929
2020-12-03 05:20:00,4.975
2020-12-03 05:40:00,5.1355
2020-12-03 06:00:00,5.2533
2020-12-03 06:20:00,5.4948
2020-12-03 06:40:00,5.9778
2020-12-03 07:00:00,6.0869
2020-12-03 07:20:00,6.52
2020-12-03 07:40:00,6.9586
2020-12-03 08:00:00,7.4779
2020-12-03 08:20:00,8.0806
2020-12-03 08:40:00,8.735
2020-12-03 09:00:00,9.4107
2020-12-03 09:20:00,10.1179
2020-12-03 09:40:00,10.6183
2020-12-03 10:00:00,11.0195
2020-12-03 10:20:00,11.3353
2020-12-03 10:40:00,11.4588
2020-12-03 11:00:00,11.6725
2020-12-03 11:20:00,11.8026
2020-12-03 11:40:00,11.9928
2020-12-03 12:00:00,11.7218
2020-12-03 12:20:00,11.4256
2020-12-03 12:40:00,11.8308
2020-12-03 13:00:00,11.0386
2020-12-03 13:20:00,11.2401
2020-12-03 13:40:00,11.3805
2020-12-03 14:00:00,11.2415
2020-12-03 14:20:00,11.3724
2020-12-03 14:40:00,11.1417
2020-12-03 15:00:00,11.26
2020-12-03 15:20:00,11.0756
2020-12-03 15:40:00,10.752
2020-12-03 16:00:00,10.4572
2020-12-03 16:20:00,10.2329
2020-12-03 16:40:00,9.7743
2020-12-03 17:00:00,9.3867
2020-12-03 17:20:00,9.5086
2020-12-03 17:40:00,8.7579
2020-12-03 18:00:00,8.3527
2020-12-03 18:20:00,7.7258
2020-12-03 18:40:00,7.6026
2020-12-03 19:00:00,7.006
2020-12-03 19:20:00,6.7141
2020-12-03 19:40:00,6.6567
2020-12-03 20:00:00,6.3439
2020-12-03 20:20:00,5.9218
2020-12-03 20:40:00,6.0293
2020-12-03 21:00:00,5.4372
2020-12-03 21:20:00,5.3723
2020-12-03 21:40:00,5.8075
2020-12-03 22:00:00,5.2293
2020-12-03 22:20:00,4.7882
2020-12-03 22:40:00,5.1861
2020-12-03 23:00:00,4.6817
2020-12-03 23:20:00,4.5048
2020-12-03 23:40:00,4.5628
2020-12-04 00:00:00,4.7022
2020-12-04 00:20:00,4.7122
2020-12-04 00:40:00,6.0965
2020-12-04 01:00:00,5.9983
2020-12-04 01:20:00,7.0432
2020-12-04 01:40:00,7.3835
2020-12-04 02:00:00,7.3738
2020-12-04 02:20:00,7.3881
2020-12-04 02:40:00,7.4591
2020-12-04 03:00:00,7.5472
2020-12-04 03:20:00,7.5455
2020-12-04 03:40:00,7.4632
2020-12-04 04:00:00,8.8746
2020-12-04 04:20:00,8.5614
2020-12-04 04:40:00,6.5083
2020-12-04 05:00:00,4.9787
2020-12-04 05:20:00,5.3072
2020-12-04 05:40:00,5.4612
2020-12-04 06:00:00,5.6409
2020-12-04 06:20:00,5.8308
2020-12-04 06:40:00,6.2144
2020-12-04 07:00:00,6.5581
2020-12-04 07:20:00,6.9758
2020-12-04 07:40:00,7.2175
2020-12-04 08:00:00,7.9136
2020-12-04 08:20:00,8.3884
2020-12-04 08:40:00,9.2747
2020-12-04 09:00:00,9.976
2020-12-04 09:20:00,10.6806
2020-12-04 09:40:00,11.249
2020-12-04 10:00:00,11.5861
2020-12-04 10:20:00,12.0381
2020-12-04 10:40:00,12.0797
2020-12-04 11:00:00,11.7883
2020-12-04 11:20:00,12.0371
2020-12-04 11:40:00,12.2545
2020-12-04 12:00:00,12.0454
2020-12-04 12:20:00,11.7634
2020-12-04 12:40:00,11.8375
2020-12-04 13:00:00,11.5928
2020-12-04 13:20:00,11.5181
2020-12-04 13:40:00,11.5884
2020-12-04 14:00:00,12.0769
2020-12-04 14:20:00,11.7624
2020-12-04 14:40:00,11.6377
2020-12-04 15:00:00,11.2135
2020-12-04 15:20:00,11.3672
2020-12-04 15:40:00,10.8487
2020-12-04 16:00:00,10.4756
2020-12-04 16:20:00,10.1601
2020-12-04 16:40:00,9.6469
2020-12-04 17:00:00,9.0912
2020-12-04 17:20:00,8.7198
2020-12-04 17:40:00,8.1578
2020-12-04 18:00:00,7.7447
2020-12-04 18:20:00,7.3428
2020-12-04 18:40:00,7.0505
2020-12-04 19:00:00,6.4618
2020-12-04 19:20:00,6.2148
2020-12-04 19:40:00,5.9114
2020-12-04 20:00:00,5.6664
2020-12-04 20:20:00,5.5893
2020-12-04 20:40:00,5.9258
2020-12-04 21:00:00,5.2414
2020-12-04 21:20:00,5.2375
2020-12-04 21:40:00,5.6992
2020-12-04 22:00:00,4.8328
2020-12-04 22:20:00,4.7228
2020-12-04 22:40:00,4.8951
2020-12-04 23:00:00,4.576
2020-12-04 23:20:00,4.3922
2020-12-04 23:40:00,4.3579
2020-12-05 00:00:00,4.7761
2020-12-05 00:20:00,5.3891
2020-12-05 00:40:00,6.2417
2020-12-05 01:00:00,6.9434
2020-12-05 01:20:00,7.2508
2020-12-05 01:40:00,7.4009
2020-12-05 02:00:00,7.2161
2020-12-05 02:20:00,7.285
2020-12-05 02:40:00,7.2508
2020-12-05 03:00:00,7.3121
2020-12-05 03:20:00,7.3674
2020-12-05 03:40:00,4.6504
2020-12-05 04:00:00,6.1364
2020-12-05 04:20:00,4.4477
2020-12-05 04:40:00,4.3294
2020-12-05 05:00:00,4.3571
2020-12-05 05:20:00,4.3494
2020-12-05 05:40:00,4.5405
2020-12-05 06:00:00,4.663
2020-12-05 06:20:00,4.8324
2020-12-05 06:40:00,4.9803
2020-12-05 07:00:00,5.2
2020-12-05 07:20:00,5.4953
2020-12-05 07:40:00,5.621
2020-12-05 08:00:00,6.0223
2020-12-05 08:20:00,6.4724
2020-12-05 08:40:00,6.9961
2020-12-05 09:00:00,7.6866
2020-12-05 09:20:00,7.8316
2020-12-05 09:40:00,8.1874
2020-12-05 10:00:00,8.6773
2020-12-05 10:20:00,8.7999
2020-12-05 10:40:00,9.1191
2020-12-05 11:00:00,9.0009
2020-12-05 11:20:00,9.2794
2020-12-05 11:40:00,8.9908
2020-12-05 12:00:00,8.8953
2020-12-05 12:20:00,8.8347
2020-12-05 12:40:00,8.426
2020-12-05 13:00:00,8.6769
2020-12-05 13:20:00,5.6986
2020-12-05 13:40:00,4.5025
2020-12-05 14:00:00,4.4569
2020-12-05 14:20:00,4.3723
2020-12-05 14:40:00,5.578
2020-12-05 15:00:00,9.6529
2020-12-05 15:20:00,11.4864
2020-12-05 15:40:00,11.6615
2020-12-05 16:00:00,7.929
2020-12-05 16:20:00,6.2967
2020-12-05 16:40:00,6.2834
2020-12-05 17:00:00,6.0109
2020-12-05 17:20:00,5.873
2020-12-05 17:40:00,5.8279
2020-12-05 18:00:00,5.5745
2020-12-05 18:20:00,5.5381
2020-12-05 18:40:00,5.8536
2020-12-05 19:00:00,5.3118
2020-12-05 19:20:00,5.1962
2020-12-05 19:40:00,5.1769
2020-12-05 20:00:00,5.1178
2020-12-05 20:20:00,4.9612
2020-12-05 20:40:00,4.9961
2020-12-05 21:00:00,4.6719
2020-12-05 21:20:00,4.7543
2020-12-05 21:40:00,4.8304
2020-12-05 22:00:00,4.5843
2020-12-05 22:20:00,4.3703
2020-12-05 22:40:00,4.5914
2020-12-05 23:00:00,4.1236
2020-12-05 23:20:00,4.0544
2020-12-05 23:40:00,3.6672
2020-12-06 00:00:00,4.0127
2020-12-06 00:20:00,3.7358
2020-12-06 00:40:00,4.0602
2020-12-06 01:00:00,6.2353
2020-12-06 01:20:00,4.0139
2020-12-06 01:40:00,3.8532
2020-12-06 02:00:00,3.8249
2020-12-06 02:20:00,3.6668
2020-12-06 02:40:00,4.1279
2020-12-06 03:00:00,3.7505
2020-12-06 03:20:00,3.7688
2020-12-06 03:40:00,3.665
2020-12-06 04:00:00,6.0703
2020-12-06 04:20:00,3.8736
2020-12-06 04:40:00,3.9135
2020-12-06 05:00:00,3.8558
2020-12-06 05:20:00,3.9588
2020-12-06 05:40:00,3.9962
2020-12-06 06:00:00,4.012
2020-12-06 06:20:00,4.0482
2020-12-06 06:40:00,4.2006
2020-12-06 07:00:00,4.2456
2020-12-06 07:20:00,4.2155
2020-12-06 07:40:00,4.4172
2020-12-06 08:00:00,4.7162
2020-12-06 08:20:00,5.458
2020-12-06 08:40:00,6.7782
2020-12-06 09:00:00,7.8224
2020-12-06 09:20:00,7.0432
2020-12-06 09:40:00,5.9839
2020-12-06 10:00:00,5.9357
2020-12-06 10:20:00,5.9407
2020-12-06 10:40:00,5.9721
2020-12-06 11:00:00,6.173
2020-12-06 11:20:00,6.5883
2020-12-06 11:40:00,6.5862
2020-12-06 12:00:00,6.3029
2020-12-06 12:20:00,6.3451
2020-12-06 12:40:00,6.6423
2020-12-06 13:00:00,6.0984
2020-12-06 13:20:00,6.23
2020-12-06 13:40:00,6.044
2020-12-06 14:00:00,6.0662
2020-12-06 14:20:00,5.9053
2020-12-06 14:40:00,6.003
2020-12-06 15:00:00,5.9344
2020-12-06 15:20:00,5.8943
2020-12-06 15:40:00,5.8094
2020-12-06 16:00:00,5.8657
2020-12-06 16:20:00,5.8597
2020-12-06 16:40:00,5.9795
2020-12-06 17:00:00,5.7539
2020-12-06 17:20:00,5.6405
2020-12-06 17:40:00,5.6558
2020-12-06 18:00:00,5.451
2020-12-06 18:20:00,5.3669
2020-12-06 18:40:00,5.4038
2020-12-06 19:00:00,5.2174
2020-12-06 19:20:00,5.2166
2020-12-06 19:40:00,5.1804
2020-12-06 20:00:00,5.2278
2020-12-06 20:20:00,5.2093
2020-12-06 20:40:00,5.1744
2020-12-06 21:00:00,4.7731
2020-12-06 21:20:00,4.8248
2020-12-06 21:40:00,4.9025
2020-12-06 22:00:00,4.7354
2020-12-06 22:20:00,4.5714
2020-12-06 22:40:00,4.5605
2020-12-06 23:00:00,4.3728
2020-12-06 23:20:00,4.2909
2020-12-06 23:40:00,4.2781
2020-12-07 00:00:00,4.7446
2020-12-07 00:20:00,5.0823
2020-12-07 00:40:00,6.5344
2020-12-07 01:00:00,7.1472
2020-12-07 01:20:00,6.9064
2020-12-07 01:40:00,6.9131
2020-12-07 02:00:00,6.8496
2020-12-07 02:20:00,6.8569
2020-12-07 02:40:00,7.3152
2020-12-07 03:00:00,7.1934
2020-12-07 03:20:00,7.3337
2020-12-07 03:40:00,7.3457
2020-12-07 04:00:00,8.3532
2020-12-07 04:20:00,7.2043
2020-12-07 04:40:00,4.8724
2020-12-07 05:00:00,4.7071
2020-12-07 05:20:00,4.9821
2020-12-07 05:40:00,5.2364
2020-12-07 06:00:00,5.5183
2020-12-07 06:20:00,5.7659
2020-12-07 06:40:00,6.0997
2020-12-07 07:00:00,6.3293
2020-12-07 07:20:00,6.6076
2020-12-07 07:40:00,7.18
2020-12-07 08:00:00,7.7469
2020-12-07 08:20:00,8.3173
2020-12-07 08:40:00,8.85
2020-12-07 09:00:00,9.9446
2020-12-07 09:20:00,10.247
2020-12-07 09:40:00,10.5989
2020-12-07 10:00:00,10.8291
2020-12-07 10:20:00,11.8368
2020-12-07 10:40:00,12.2088
2020-12-07 11:00:00,12.0365
2020-12-07 11:20:00,12.1586
2020-12-07 11:40:00,12.1143
2020-12-07 12:00:00,11.8528
2020-12-07 12:20:00,11.842
2020-12-07 12:40:00,11.6335
2020-12-07 13:00:00,11.5729
2020-12-07 13:20:00,11.2084
2020-12-07 13:40:00,11.1191
2020-12-07 14:00:00,11.3461
2020-12-07 14:20:00,11.1262
2020-12-07 14:40:00,11.1654
2020-12-07 15:00:00,10.7692
2020-12-07 15:20:00,10.7428
2020-12-07 15:40:00,10.3579
2020-12-07 16:00:00,10.1193
2020-12-07 16:20:00,10.0193
2020-12-07 16:40:00,9.8914
2020-12-07 17:00:00,9.2342
2020-12-07 17:20:00,8.9114
2020-12-07 17:40:00,8.4595
2020-12-07 18:00:00,7.8887
2020-12-07 18:20:00,7.4973
2020-12-07 18:40:00,7.0473
2020-12-07 19:00:00,6.6347
2020-12-07 19:20:00,6.4482
2020-12-07 19:40:00,6.2206
2020-12-07 20:00:00,5.7961
2020-12-07 20:20:00,5.6695
2020-12-07 20:40:00,5.8501
2020-12-07 21:00:00,5.2973
2020-12-07 21:20:00,5.1723
2020-12-07 21:40:00,6.0263
2020-12-07 22:00:00,4.7913
2020-12-07 22:20:00,4.8495
2020-12-07 22:40:00,4.7477
2020-12-07 23:00:00,4.5015
2020-12-07 23:20:00,4.3364
2020-12-07 23:40:00,4.4593
2020-12-08 00:00:00,4.6293
2020-12-08 00:20:00,5.2222
2020-12-08 00:40:00,6.9937
2020-12-08 01:00:00,7.3722
2020-12-08 01:20:00,7.0711
2020-12-08 01:40:00,7.3651
2020-12-08 02:00:00,7.2033
2020-12-08 02:20:00,7.3035
2020-12-08 02:40:00,7.5077
2020-12-08 03:00:00,7.3824
2020-12-08 03:20:00,7.4384
2020-12-08 03:40:00,7.5071
2020-12-08 04:00:00,8.1825
2020-12-08 04:20:00,8.8793
2020-12-08 04:40:00,4.7413
2020-12-08 05:00:00,4.8637
2020-12-08 05:20:00,5.1059
2020-12-08 05:40:00,5.2348
2020-12-08 06:00:00,5.4973
2020-12-08 06:20:00,5.7247
2020-12-08 06:40:00,5.5976
2020-12-08 07:00:00,6.0935
2020-12-08 07:20:00,6.506
2020-12-08 07:40:00,6.9586
2020-12-08 08:00:00,7.297
2020-12-08 08:20:00,7.9096
2020-12-08 08:40:00,8.7177
2020-12-08 09:00:00,9.3072
2020-12-08 09:20:00,10.1127
2020-12-08 09:40:00,10.7684
2020-12-08 10:00:00,11.0684
2020-12-08 10:20:00,11.3418
2020-12-08 10:40:00,11.4546
2020-12-08 11:00:00,11.4727
2020-12-08 11:20:00,11.3441
2020-12-08 11:40:00,11.6939
2020-12-08 12:00:00,11.323
2020-12-08 12:20:00,11.3241
2020-12-08 12:40:00,11.1626
2020-12-08 13:00:00,10.9956
2020-12-08 13:20:00,10.9401
2020-12-08 13:40:00,10.6128
2020-12-08 14:00:00,10.4824
2020-12-08 14:20:00,10.5955
2020-12-08 14:40:00,10.8855
2020-12-08 15:00:00,10.4288
2020-12-08 15:20:00,10.4405
2020-12-08 15:40:00,10.1393
2020-12-08 16:00:00,9.5711
2020-12-08 16:20:00,9.5473
2020-12-08 16:40:00,9.351
2020-12-08 17:00:00,9.0152
2020-12-08 17:20:00,8.9408
2020-12-08 17:40:00,8.6278
2020-12-08 18:00:00,8.0369
2020-12-08 18:20:00,7.5097
2020-12-08 18:40:00,6.9231
2020-12-08 19:00:00,6.4549
2020-12-08 19:20:00,6.3299
2020-12-08 19:40:00,5.8474
2020-12-08 20:00:00,5.8691
2020-12-08 20:20:00,5.7092
2020-12-08 20:40:00,5.861
2020-12-08 21:00:00,5.1309
2020-12-08 21:20:00,5.1465
2020-12-08 21:40:00,5.6526
2020-12-08 22:00:00,4.8897
2020-12-08 22:20:00,4.7594
2020-12-08 22:40:00,4.9624
2020-12-08 23:00:00,4.4356
2020-12-08 23:20:00,4.4532
2020-12-08 23:40:00,4.4138
