clock,value
2020-12-02 14:40:00,32.5863
2020-12-02 15:00:00,31.1387
2020-12-02 15:20:00,31.0779
2020-12-02 15:40:00,29.4065
2020-12-02 16:00:00,29.8987
2020-12-02 16:20:00,28.4541
2020-12-02 16:40:00,26.388
2020-12-02 17:00:00,25.5382
2020-12-02 17:20:00,24.0292
2020-12-02 17:40:00,22.4983
2020-12-02 18:00:00,21.4415
2020-12-02 18:20:00,20.1672
2020-12-02 18:40:00,18.6885
2020-12-02 19:00:00,18.0984
2020-12-02 19:20:00,16.9246
2020-12-02 19:40:00,15.911
2020-12-02 20:00:00,15.1062
2020-12-02 20:20:00,14.9626
2020-12-02 20:40:00,14.1623
2020-12-02 21:00:00,13.776
2020-12-02 21:20:00,13.4341
2020-12-02 21:40:00,12.7858
2020-12-02 22:00:00,12.4309
2020-12-02 22:20:00,12.2311
2020-12-02 22:40:00,11.0599
2020-12-02 23:00:00,10.845
2020-12-02 23:20:00,10.8937
2020-12-02 23:40:00,10.2261
2020-12-03 00:00:00,10.6269
2020-12-03 00:20:00,13.062
2020-12-03 00:40:00,15.0585
2020-12-03 01:00:00,18.3646
2020-12-03 01:20:00,17.5477
2020-12-03 01:40:00,16.9296
2020-12-03 02:00:00,17.5646
2020-12-03 02:20:00,17.8094
2020-12-03 02:40:00,17.3391
2020-12-03 03:00:00,17.9123
2020-12-03 03:20:00,18.0044
2020-12-03 03:40:00,18.2138
2020-12-03 04:00:00,17.2615
2020-12-03 04:20:00,10.64
2020-12-03 04:40:00,10.4683
2020-12-03 05:00:00,11.4629
2020-12-03 05:20:00,12.3279
2020-12-03 05:40:00,12.2133
2020-12-03 06:00:00,12.9025
2020-12-03 06:20:00,14.0172
2020-12-03 06:40:00,14.6698
2020-12-03 07:00:00,15.291
2020-12-03 07:20:00,16.7234
2020-12-03 07:40:00,17.8251
2020-12-03 08:00:00,19.5985
2020-12-03 08:20:00,21.8356
2020-12-03 08:40:00,23.2607
2020-12-03 09:00:00,27.2161
2020-12-03 09:20:00,29.0921
2020-12-03 09:40:00,30.0414
2020-12-03 10:00:00,32.0979
2020-12-03 10:20:00,33.1371
2020-12-03 10:40:00,32.7076
2020-12-03 11:00:00,33.941
2020-12-03 11:20:00,37.5447
2020-12-03 11:40:00,34.1283
2020-12-03 12:00:00,34.5485
2020-12-03 12:20:00,33.1434
2020-12-03 12:40:00,33.0036
2020-12-03 13:00:00,31.8076
2020-12-03 13:20:00,32.4917
2020-12-03 13:40:00,32.8805
2020-12-03 14:00:00,32.3417
2020-12-03 14:20:00,31.7186
2020-12-03 14:40:00,30.7583
2020-12-03 15:00:00,30.8563
